INSERT INTO fa22_sg_order_product (quantity, actual_price, product_id, order_id) VALUES 
('2', '221.98', 'TEC-PH-5816', 'CA-2014-AB10015140-41954'), 
('9', '3709.4', 'FUR-CH-5379', 'IN-2014-JR162107-41675'), 
('9', '5175.17', 'TEC-PH-5356', 'IN-2014-CR127307-41929'), 
('5', '2892.51', 'TEC-PH-5267', 'ES-2014-KM1637548-41667'), 
('8', '2832.96', 'TEC-CO-6011', 'SG-2014-RH9495111-41948'), 
('5', '2862.68', 'TEC-PH-5842', 'IN-2014-JM156557-41818'), 
('4', '1822.08', 'FUR-CH-5378', 'IN-2012-TS2134092-41219'), 
('6', '5244.84', 'FUR-TA-3764', 'IN-2013-MB1808592-41378'), 
('2', '341.96', 'FUR-BO-5957', 'CA-2014-AB10015140-41954'), 
('1', '48.71', 'FUR-CH-4421', 'CA-2012-AB10015140-40974'), 
('3', '17.94', 'OFF-AR-5309', 'CA-2012-AB10015140-40974'), 
('5', '4626.15', 'FUR-TA-3420', 'ID-2013-AJ107801-41383'), 
('4', '2616.96', 'TEC-PH-3807', 'SA-2012-MM7260110-41269'), 
('7', '2221.8', 'FUR-CH-4530', 'MX-2013-VF2171518-41591'), 
('12', '3701.52', 'OFF-AP-4959', 'IN-2014-PF1912027-41796'), 
('4', '1869.59', 'OFF-AP-3575', 'ES-2015-BP1118545-42216'), 
('2', '12.62', 'OFF-ST-3078', 'CA-2012-AB10015140-40958'), 
('14', '7958.58', 'OFF-AP-4743', 'ES-2015-PJ1883564-42255'), 
('9', '2565.59', 'TEC-CO-3597', 'IN-2015-JS156857-42035'), 
('6', '3409.74', 'OFF-AP-4967', 'TZ-2015-RH9555129-42343'), 
('4', '1977.72', 'FUR-TA-4644', 'PL-2013-AB600103-41494'), 
('3', '242.94', 'OFF-ST-3744', 'CA-2012-AB10015140-40974'), 
('6', '2754.0', 'FUR-CH-5774', 'IN-2012-JK1532527-41030'), 
('10', '5273.7', 'OFF-AP-4960', 'ES-2014-LB16795139-41697'), 
('4', '1713.84', 'TEC-PH-5268', 'US-2015-NP1832582-42216'), 
('8', '2106.5', 'FUR-TA-4643', 'MX-2015-VD2167039-42252'), 
('2', '1715.16', 'FUR-TA-5060', 'IN-2012-PB19210127-41259'), 
('6', '3069.74', 'OFF-AP-4743', 'ES-2012-EB1411048-40981'), 
('8', '247.84', 'OFF-FA-6129', 'CA-2012-AH10030140-41020'), 
('4', '1878.72', 'FUR-CH-5443', 'IN-2013-BP1123058-41329'), 
('5', '1696.64', 'TEC-PH-5841', 'US-2012-RR1952536-41270'), 
('9', '2402.87', 'TEC-MA-5503', 'ES-2013-BS1136545-41472'), 
('9', '668.16', 'TEC-PH-4389', 'CA-2013-AH10030140-41635'), 
('5', '2526.93', 'OFF-AP-3579', 'IN-2012-DP131057-41215'), 
('2', '323.1', 'OFF-ST-4291', 'CA-2013-AH10030140-41635'), 
('6', '3817.26', 'TEC-PH-3148', 'CG-2012-AH1003033-41165'), 
('6', '279.46', 'FUR-CH-4840', 'CA-2012-AH10030140-41041'), 
('3', '34.77', 'TEC-AC-6340', 'CA-2012-AH10030140-41273'), 
('13', '4141.02', 'TEC-CO-3598', 'ES-2015-PO18865139-42018'), 
('5', '2875.1', 'TEC-PH-5356', 'IN-2012-DL128657-40918'), 
('6', '3200.6', 'TEC-PH-5268', 'ID-2014-JB1600059-41873'), 
('7', '4518.78', 'TEC-PH-5269', 'IN-2015-BF1100558-42319'), 
('13', '5667.87', 'FUR-BO-5951', 'IN-2015-VG2180558-42273'), 
('9', '5785.02', 'TEC-PH-5267', 'ES-2013-GT14710139-41621'), 
('7', '3018.62', 'OFF-AP-3874', 'IT-2012-ZC2191048-41174'), 
('7', '86.45', 'FUR-FU-4072', 'CA-2014-AH10030140-41719'), 
('5', '2092.5', 'FUR-CH-5441', 'IT-2014-EB1384045-41706'), 
('6', '2761.2', 'FUR-CH-5380', 'IN-2015-AP1091527-42244'), 
('7', '2174.13', 'TEC-MA-5007', 'IN-2015-SW2027558-42125'), 
('11', '3473.14', 'FUR-CH-4531', 'MX-2015-JH15820141-42356'), 
('4', '49.41', 'OFF-BI-4372', 'US-2012-AH10030140-41206'), 
('8', '2108.64', 'TEC-CO-3678', 'IR-2015-TG1164060-42265'), 
('3', '18.9', 'OFF-LA-3231', 'CA-2012-AH10030140-41273'), 
('5', '2197.5', 'FUR-BO-5762', 'IN-2012-PB19210127-41259'), 
('4', '2582.16', 'TEC-PH-5269', 'MZ-2014-DG330087-41991'), 
('4', '1526.52', 'TEC-CO-4590', 'IN-2013-SG2047058-41424'), 
('3', '9.91', 'OFF-BI-2937', 'CA-2012-AH10030140-41020'), 
('2', '1745.34', 'FUR-TA-3766', 'IN-2013-GP1474058-41419'), 
('9', '4191.51', 'OFF-AP-3577', 'IN-2015-MW182207-42221'), 
('2', '8.0', 'OFF-PA-4014', 'CA-2012-AH10030140-41041'), 
('7', '3063.27', 'FUR-BO-5760', 'IN-2015-CS1246011-42074'), 
('7', '18.7', 'OFF-AR-3276', 'CA-2015-AH10030140-42357'), 
('7', '4473.0', 'TEC-PH-5839', 'ES-2015-MS1798048-42227'), 
('9', '1502.01', 'TEC-PH-3130', 'IT-2014-KC1667548-41882'), 
('11', '5049.0', 'FUR-CH-5774', 'IN-2015-DB1340527-42022'), 
('2', '695.7', 'TEC-MA-3788', 'CA-2015-AS10045140-42007'), 
('5', '2188.05', 'FUR-BO-5760', 'IT-2015-DK13090120-42345'), 
('4', '1920.36', 'FUR-TA-3779', 'IN-2015-CS1184558-42354'), 
('4', '1704.0', 'TEC-PH-5839', 'MX-2015-EM1420082-42328'), 
('4', '1858.68', 'FUR-TA-3771', 'UP-2012-DW3480137-41221'), 
('7', '3298.26', 'FUR-CH-4530', 'IN-2014-AS1022527-41797'), 
('13', '2443.48', 'OFF-AP-4497', 'MX-2012-ST2053093-41234'), 
('8', '3808.8', 'FUR-CH-4530', 'CG-2014-BW106533-41727'), 
('7', '3427.15', 'FUR-TA-3422', 'IN-2015-LA1678059-42242'), 
('6', '3441.69', 'TEC-PH-5355', 'ES-2013-AB10150139-41537'), 
('5', '2863.35', 'TEC-PH-3147', 'IN-2015-JH158207-42140'), 
('3', '1439.98', 'TEC-MA-3329', 'CA-2015-AS10045140-42218'), 
('10', '1487.4', 'TEC-CO-3599', 'ES-2014-BE1141048-41967'), 
('9', '3200.04', 'TEC-CO-6010', 'IN-2012-SZ2003527-41221'), 
('5', '2301.0', 'FUR-CH-5380', 'IN-2012-RM1937558-41209'), 
('14', '5729.35', 'FUR-CH-4654', 'ES-2015-HG1484545-42327'), 
('14', '5301.24', 'TEC-CO-3710', 'MO-2015-DP310586-42305'), 
('2', '477.67', 'FUR-BO-3176', 'CA-2014-AS10045140-41908'), 
('7', '88.07', 'OFF-BI-3324', 'US-2015-AS10045140-42252'), 
('5', '3219.9', 'TEC-PH-5268', 'ES-2014-JB1600048-41668'), 
('6', '2487.81', 'OFF-AP-4501', 'ID-2013-AM1070559-41535'), 
('4', '2266.44', 'OFF-AP-4745', 'MO-2014-AB25586-41966'), 
('9', '3068.36', 'TEC-CO-3611', 'IN-2013-RP192707-41438'), 
('9', '3728.43', 'FUR-BO-4849', 'IN-2014-BK1126011-41940'), 
('6', '1581.48', 'TEC-CO-3678', 'IN-2014-JM1525027-41985'), 
('3', '1916.73', 'TEC-PH-5356', 'IN-2013-GP1474058-41419'), 
('3', '171.29', 'FUR-TA-5066', 'CA-2015-AS10045140-42281'), 
('5', '2432.16', 'OFF-AP-4508', 'ES-2014-NZ1856545-41975'), 
('6', '28.85', 'OFF-BI-3308', 'CA-2015-AS10045140-42007'), 
('7', '2465.82', 'FUR-CH-5443', 'ID-2014-SC20695102-41667'), 
('2', '1847.52', 'FUR-TA-3422', 'IN-2013-NC186257-41401'), 
('7', '2899.89', 'FUR-BO-4849', 'ES-2014-NF183858-41970'), 
('7', '2891.7', 'FUR-CH-5774', 'IN-2013-NZ185657-41606'), 
('9', '2016.85', 'TEC-MA-5572', 'IT-2013-PM1894045-41546'), 
('7', '3155.54', 'OFF-AP-4503', 'ES-2014-MZ1733545-41885'), 
('6', '3856.14', 'TEC-PH-5268', 'CG-2014-HM498033-41846'), 
('6', '3524.47', 'TEC-PH-3806', 'IN-2015-RW195407-42327'), 
('4', '2167.3', 'TEC-PH-5840', 'ES-2013-LH1715545-41444'), 
('6', '2556.0', 'TEC-PH-5839', 'MX-2013-FH1436582-41558'), 
('5', '1469.25', 'TEC-CO-5999', 'ES-2012-KM1666048-41129'), 
('8', '4448.83', 'TEC-PH-3807', 'ES-2012-PO1886545-41217'), 
('11', '65.78', 'OFF-PA-6512', 'US-2012-AS10045140-41116'), 
('9', '2472.66', 'FUR-BO-3891', 'MX-2014-AB1006028-41755'), 
('8', '3739.18', 'OFF-AP-3575', 'IN-2014-DB130607-41999'), 
('11', '2570.87', 'FUR-CH-5442', 'IT-2014-VM2168591-41711'), 
('2', '31.4', 'OFF-ST-4516', 'CA-2014-AS10045140-41727'), 
('9', '2875.77', 'TEC-PH-3149', 'ES-2013-DM1352548-41369'), 
('4', '1741.8', 'FUR-BO-5948', 'ES-2013-NM18520120-41634'), 
('5', '1601.64', 'TEC-CO-6012', 'IN-2014-LC168857-41747'), 
('7', '3670.8', 'OFF-AP-4738', 'IN-2012-RO1978027-41052'), 
('7', '36.29', 'OFF-PA-6557', 'CA-2015-AS10045140-42218'), 
('5', '1900.95', 'TEC-CO-4593', 'ES-2014-EM1406548-41775'), 
('5', '15.66', 'OFF-BI-3185', 'CA-2015-AS10045140-42007'), 
('11', '4544.1', 'FUR-CH-5774', 'IT-2012-ON1871545-40955'), 
('4', '1455.12', 'FUR-BO-3639', 'IN-2014-VS2182027-41790'), 
('6', '1943.19', 'TEC-CO-4790', 'IN-2014-CM121157-41913'), 
('7', '2036.86', 'FUR-TA-4622', 'CA-2015-AB10060140-42315'), 
('4', '4355.17', 'OFF-BI-4340', 'CA-2014-AB10060140-41884'), 
('5', '1695.87', 'TEC-CO-3709', 'ID-2014-JK153257-41984'), 
('6', '1505.98', 'TEC-CO-5998', 'IT-2015-RP1927045-42081'), 
('3', '1954.17', 'TEC-PH-3806', 'IN-2015-DW1354078-42357'), 
('2', '449.57', 'FUR-CH-4613', 'CA-2015-AB10060140-42315'), 
('2', '160.32', 'OFF-AP-4221', 'US-2014-AB10060140-41712'), 
('3', '108.96', 'TEC-AC-5858', 'CA-2015-AB10060140-42315'), 
('7', '1213.19', 'TEC-CO-3587', 'MX-2015-GM1444037-42265'), 
('5', '1590.6', 'TEC-CO-4577', 'IN-2014-SV2081558-41968'), 
('9', '2330.64', 'TEC-AC-3405', 'IN-2014-MM1792027-41950'), 
('8', '3278.58', 'FUR-BO-5761', 'IN-2015-JK1612059-42204'), 
('7', '3741.52', 'TEC-PH-5268', 'ID-2013-EM14200130-41502'), 
('10', '67.8', 'OFF-PA-6214', 'CA-2015-AB10060140-42314'), 
('10', '3637.6', 'FUR-BO-5787', 'IN-2013-PM1894059-41284'), 
('7', '2455.88', 'OFF-AP-4736', 'MX-2014-AT1043582-41667'), 
('8', '1024.68', 'TEC-MA-6150', 'ID-2013-AB1001527-41439'), 
('3', '167.94', 'OFF-FA-6129', 'CA-2015-AB10060140-42314'), 
('2', '24.56', 'OFF-PA-6430', 'CA-2014-AB10060140-41884'), 
('14', '2297.96', 'TEC-AC-5223', 'MX-2013-PV1898518-41614'), 
('7', '2671.41', 'TEC-CO-4590', 'IT-2014-SB2029064-41887'), 
('6', '3834.0', 'TEC-PH-5839', 'SO-2015-SM10005116-42265'), 
('8', '3501.74', 'OFF-AP-4960', 'IN-2013-KH1633059-41489'), 
('3', '1725.46', 'TEC-PH-3149', 'IN-2015-MP181757-42347'), 
('5', '1583.7', 'TEC-CO-3597', 'IN-2013-LH1702027-41572'), 
('1', '79.99', 'TEC-AC-5109', 'CA-2015-AB10060140-42132'), 
('7', '2760.35', 'FUR-BO-5763', 'ID-2014-CR126257-41878'), 
('12', '3078.72', 'TEC-AC-3403', 'IN-2012-NC1862511-41041'), 
('7', '1983.14', 'OFF-AP-4745', 'IT-2012-GM1468091-41215'), 
('3', '1112.78', 'FUR-BO-3624', 'ES-2015-RA1994545-42218'), 
('10', '3616.5', 'TEC-CO-4789', 'ES-2012-DB1306048-41171'), 
('2', '127.88', 'FUR-FU-4762', 'US-2014-AB10060140-41712'), 
('5', '2892.11', 'TEC-PH-5268', 'IN-2014-RF197357-41709'), 
('5', '3263.4', 'TEC-PH-3806', 'ES-2013-JH1582048-41306'), 
('4', '46.0', 'OFF-BI-4819', 'US-2014-AB10060140-41712'), 
('13', '3117.09', 'FUR-TA-5064', 'MX-2015-DM1295551-42103'), 
('3', '27.93', 'OFF-SU-2972', 'CA-2014-AB10060140-41881'), 
('5', '1888.7', 'OFF-AP-4745', 'MX-2015-BE1133582-42082'), 
('6', '3000.78', 'OFF-AP-4502', 'IN-2014-SO2033527-41914'), 
('7', '3801.63', 'OFF-AP-4507', 'ES-2014-DK12835120-41651'), 
('8', '5211.12', 'TEC-PH-3806', 'SA-2015-LC7050110-42236'), 
('3', '1356.03', 'FUR-TA-5065', 'IN-2012-PB19210127-41259'), 
('7', '3569.64', 'OFF-AP-4745', 'IN-2015-CG125207-42077'), 
('2', '18.54', 'OFF-PA-6420', 'CA-2013-AB10060140-41535'), 
('8', '2910.08', 'FUR-BO-5787', 'ID-2015-HG1502559-42194'), 
('9', '3126.4', 'FUR-CH-4532', 'ID-2014-AD1018059-41801'), 
('9', '5276.99', 'TEC-PH-3805', 'ES-2012-BP11155139-41130'), 
('5', '2645.38', 'TEC-PH-5840', 'ID-2015-AA10480130-42080'), 
('5', '1637.01', 'FUR-BO-3639', 'ID-2014-RL196157-41641'), 
('1', '3.05', 'OFF-BI-2911', 'CA-2014-AB10060140-41884'), 
('5', '2645.38', 'TEC-PH-5840', 'ID-2013-SW2024559-41557'), 
('1', '6.79', 'TEC-AC-5744', 'CA-2014-AB10060140-41884'), 
('5', '3238.31', 'FUR-TA-3420', 'IN-2012-BW1111027-41076'), 
('7', '2291.81', 'FUR-BO-3639', 'ES-2015-YC21895139-42097'), 
('5', '2124.5', 'TEC-PH-5355', 'MX-2012-JM1558082-41045'), 
('6', '2757.78', 'FUR-CH-4654', 'BO-2015-MZ733513-42046'), 
('6', '1549.98', 'TEC-AC-4185', 'ES-2014-JF15295120-41924'), 
('4', '20.74', 'OFF-PA-6596', 'CA-2015-AB10060140-42264'), 
('6', '3146.4', 'OFF-AP-4738', 'UP-2015-DJ3510137-42202'), 
('11', '2456.62', 'TEC-MA-4205', 'ES-2015-MF1825045-42330'), 
('7', '2228.64', 'FUR-TA-4642', 'IT-2012-TC2129545-41058'), 
('1', '4.41', 'OFF-PA-3114', 'CA-2015-AB10060140-42314'), 
('8', '4001.04', 'OFF-AP-4502', 'IN-2015-CP1234058-42202'), 
('9', '4876.88', 'TEC-PH-3148', 'ES-2015-EH1412545-42245'), 
('6', '1788.82', 'FUR-TA-5054', 'IN-2013-NC183407-41634'), 
('7', '3622.29', 'OFF-AP-3577', 'IN-2015-BF1100558-42319'), 
('5', '1242.59', 'FUR-TA-5072', 'ID-2014-JS1603059-41760'), 
('7', '4453.05', 'TEC-PH-5354', 'ES-2012-AM10360139-41136'), 
('8', '2673.36', 'FUR-TA-4706', 'IN-2015-JF1519021-42341'), 
('5', '2046.2', 'FUR-CH-4654', 'IN-2014-AB100157-41815'), 
('6', '5451.3', 'FUR-TA-3344', 'ES-2014-JG15160139-41660'), 
('3', '637.9', 'FUR-TA-5421', 'CA-2015-AH10075140-42301'), 
('4', '1722.28', 'OFF-AP-3574', 'IN-2015-AG1033059-42197'), 
('2', '210.68', 'FUR-FU-3936', 'CA-2015-AH10075140-42301'), 
('2', '1007.42', 'OFF-AP-3581', 'ES-2015-NF1847548-42248'), 
('4', '240.74', 'FUR-TA-4943', 'CA-2015-AH10075140-42301'), 
('9', '4624.29', 'OFF-AP-4966', 'IN-2012-DR129407-41066'), 
('6', '1066.45', 'OFF-ST-6049', 'ES-2012-NB1865548-41194'), 
('4', '957.6', 'TEC-CO-5991', 'IN-2014-NM1844527-41800'), 
('10', '4864.32', 'OFF-AP-4508', 'IN-2015-TA213857-42351'), 
('2', '841.57', 'OFF-BI-4338', 'CA-2014-AH10075140-41898'), 
('3', '1433.84', 'OFF-AP-3580', 'ID-2015-SC20380102-42165'), 
('14', '2784.6', 'OFF-ST-6047', 'SF-2012-PA9060117-40954'), 
('7', '3063.27', 'FUR-BO-5760', 'ES-2014-RB19570120-41971'), 
('2', '231.72', 'OFF-SU-5635', 'CA-2014-AH10075140-41817'), 
('5', '196.45', 'FUR-FU-4756', 'CA-2015-AH10075140-42110'), 
('6', '2044.8', 'TEC-PH-5839', 'US-2012-LH1675036-41129'), 
('3', '165.6', 'TEC-AC-6351', 'CA-2014-AH10075140-41991'), 
('4', '1521.0', 'TEC-CO-3608', 'IN-2013-KB1658527-41488'), 
('5', '2443.91', 'OFF-AP-4507', 'ES-2013-LH1715545-41444'), 
('1', '137.31', 'OFF-ST-4257', 'CA-2015-AH1007523-42101'), 
('10', '1141.8', 'TEC-MA-4210', 'IR-2014-MZ751560-41853'), 
('9', '1865.97', 'OFF-ST-4266', 'IN-2015-DM1334558-42146'), 
('11', '6998.64', 'TEC-PH-5841', 'ID-2012-CA1196566-40949'), 
('3', '1091.25', 'FUR-BO-3903', 'ES-2014-SC20305120-41909'), 
('3', '1094.22', 'FUR-BO-4862', 'IN-2015-MH1811558-42157'), 
('4', '1320.62', 'FUR-BO-3640', 'IN-2014-KS163007-41912'), 
('4', '2555.64', 'TEC-PH-5356', 'IN-2012-BG1174078-41108'), 
('8', '3498.72', 'FUR-BO-5950', 'RS-2015-CR2625108-42230'), 
('4', '35.0', 'FUR-FU-4022', 'CA-2015-AH10075140-42301'), 
('6', '2272.86', 'TEC-CO-3611', 'IN-2015-DK1309027-42308'), 
('8', '5211.12', 'TEC-PH-3806', 'IN-2014-JL1583527-41845'), 
('4', '2582.16', 'TEC-PH-5269', 'IN-2015-AP1072058-42284'), 
('5', '3194.55', 'TEC-PH-5356', 'IN-2015-CR1282058-42294'), 
('4', '1705.0', 'FUR-CH-4531', 'IN-2014-BF110807-41976'), 
('6', '1538.72', 'OFF-AP-3571', 'IN-2015-JM15265102-42316'), 
('3', '1381.32', 'FUR-CH-5378', 'IN-2014-NM1844527-41800'), 
('3', '1181.55', 'FUR-BO-5760', 'IT-2012-TW2102545-41172'), 
('4', '1696.25', 'FUR-CH-4530', 'IT-2012-RB1933045-41080'), 
('2', '190.9', 'OFF-SU-3839', 'CA-2015-AH10075140-42273'), 
('3', '314.35', 'FUR-CH-5429', 'CA-2015-AH10075140-42144'), 
('4', '1237.56', 'OFF-AP-4732', 'SF-2015-AB10060117-42334'), 
('2', '1274.7', 'TEC-PH-5355', 'EG-2013-JR567038-41363'), 
('9', '3172.14', 'OFF-AP-4962', 'MX-2012-MD1735028-41222'), 
('8', '43.44', 'OFF-PA-6415', 'CA-2015-AH10075140-42301'), 
('7', '3979.29', 'OFF-AP-4743', 'ES-2013-EB13840139-41487'), 
('10', '51.84', 'OFF-PA-6577', 'CA-2014-AH10075140-41991'), 
('5', '17.9', 'OFF-FA-5459', 'CA-2014-AH10075140-41817'), 
('2', '12.48', 'OFF-PA-3115', 'CA-2014-AH10075140-41817'), 
('4', '2058.0', 'FUR-TA-3358', 'AJ-2014-JL58359-41662'), 
('7', '2539.88', 'FUR-BO-5967', 'IN-2012-EP1391559-41049'), 
('7', '2898.21', 'FUR-BO-3626', 'ES-2015-MS17770139-42275'), 
('5', '1320.01', 'TEC-MA-5007', 'IT-2012-CM1265545-41218'), 
('8', '2171.16', 'FUR-TA-3345', 'LH-2015-JC610575-42032'), 
('13', '4448.22', 'TEC-CO-4593', 'IN-2015-GB145307-42260'), 
('3', '12.84', 'OFF-AR-5327', 'CA-2015-AH10075140-42335'), 
('9', '2300.62', 'TEC-PH-3149', 'US-2012-JH161805-41264'), 
('6', '2615.94', 'FUR-BO-5951', 'EG-2014-MT807038-41675'), 
('3', '1066.68', 'TEC-CO-6010', 'IN-2012-AB1010558-41270'), 
('1', '2.22', 'OFF-AP-4739', 'CA-2015-AH10075140-42301'), 
('4', '2544.6', 'TEC-PH-5354', 'LT-2012-CV280572-41025'), 
('4', '3694.68', 'FUR-TA-4645', 'IN-2012-NH1861092-41187'), 
('7', '2214.85', 'FUR-TA-5065', 'ID-2014-HJ1487527-41875'), 
('4', '1236.48', 'FUR-CH-5776', 'MX-2014-JL1517518-41903'), 
('5', '1805.9', 'OFF-AP-4505', 'MX-2015-MY1829593-42355'), 
('2', '5.22', 'OFF-LA-5591', 'CA-2012-AH10075140-41228'), 
('2', '3.01', 'OFF-AR-5458', 'CA-2013-AH10075140-41629'), 
('5', '8.6', 'OFF-BI-3301', 'CA-2015-AH10075140-42273'), 
('5', '1810.3', 'OFF-AP-4507', 'MX-2015-KC1654093-42158'), 
('5', '2120.5', 'TEC-PH-5354', 'MX-2015-CS1246093-42259'), 
('2', '1275.0', 'TEC-PH-3148', 'IN-2015-HA1492027-42111'), 
('7', '1593.65', 'TEC-MA-5017', 'ES-2013-MT1781545-41599'), 
('3', '1114.24', 'FUR-BO-3627', 'ES-2015-FW1439545-42069'), 
('5', '2944.08', 'TEC-PH-3807', 'ES-2013-BH1171048-41478'), 
('7', '3309.26', 'OFF-AP-4964', 'ID-2015-DK1289559-42315'), 
('9', '897.48', 'FUR-CH-4544', 'MX-2015-KD1627018-42330'), 
('5', '2056.05', 'FUR-BO-4848', 'ES-2012-SC208458-41070'), 
('10', '2365.66', 'TEC-CO-6010', 'MX-2013-CY1274582-41531'), 
('7', '1336.36', 'TEC-CO-3596', 'IN-2012-HL150407-41237'), 
('8', '3038.64', 'TEC-CO-4591', 'IN-2013-CT1199566-41496'), 
('9', '2698.65', 'OFF-AP-3573', 'ES-2014-CC12370139-41718'), 
('12', '3799.08', 'TEC-CO-3688', 'LT-2014-GR456072-42003'), 
('6', '2756.34', 'FUR-CH-4656', 'IN-2013-TT2107058-41551'), 
('8', '983.88', 'TEC-PH-3146', 'IT-2013-PO19195120-41492'), 
('5', '1719.81', 'FUR-CH-4530', 'IN-2013-ED13885144-41549'), 
('3', '1421.54', 'OFF-AP-4966', 'IN-2015-AP1091559-42089'), 
('5', '1053.69', 'TEC-CO-3597', 'MX-2015-TM2149031-42329'), 
('8', '1440.84', 'TEC-CO-4792', 'IT-2012-AW1084091-41242'), 
('6', '2544.37', 'FUR-CH-4530', 'IN-2012-DP131057-41215'), 
('7', '27.89', 'OFF-PA-6504', 'CA-2015-AH10075140-42144'), 
('8', '1554.48', 'TEC-CO-4571', 'RO-2013-SG10605107-41614'), 
('3', '1278.0', 'TEC-PH-5839', 'MX-2014-BM1178582-41976'), 
('8', '3474.08', 'TEC-PH-3806', 'MX-2013-FH1436582-41628'), 
('6', '2550.0', 'TEC-PH-3148', 'MX-2013-DK1337582-41530'), 
('2', '538.19', 'OFF-BI-4343', 'CA-2015-AS10090140-42264'), 
('4', '579.53', 'FUR-CH-5430', 'CA-2012-AS10090140-41173'), 
('7', '1024.38', 'FUR-TA-3427', 'CA-2013-AS10090140-41587'), 
('14', '934.25', 'TEC-PH-5815', 'TU-2013-SF10200134-41417'), 
('2', '353.57', 'FUR-BO-5529', 'CA-2014-AS10090140-41812'), 
('6', '3908.88', 'TEC-PH-3805', 'SG-2015-JW5220111-42108'), 
('5', '2142.3', 'TEC-PH-5268', 'MX-2015-CC1210082-42245'), 
('6', '1900.58', 'OFF-AP-4961', 'ID-2015-RD1993092-42140'), 
('6', '1840.68', 'OFF-AP-4733', 'CM-2013-BP123022-41621'), 
('6', '2624.04', 'FUR-BO-5950', 'ES-2012-SA20830139-40998'), 
('7', '3076.5', 'FUR-BO-5762', 'IN-2013-EM1381058-41308'), 
('6', '3181.77', 'TEC-PH-5356', 'IN-2014-CS12175130-41788'), 
('11', '1392.63', 'OFF-ST-5691', 'IT-2013-JD16060120-41515'), 
('8', '1296.24', 'FUR-CH-5412', 'IN-2012-GH1466527-41074'), 
('3', '1682.91', 'OFF-AP-3578', 'IN-2015-CM1193527-42244'), 
('3', '1278.0', 'TEC-PH-5839', 'MX-2012-JB1600093-41208'), 
('4', '2570.76', 'TEC-PH-5268', 'RS-2015-RB9465108-42082'), 
('5', '2332.96', 'FUR-TA-3763', 'MX-2015-RB1979518-42258'), 
('6', '1582.2', 'FUR-BO-5762', 'ID-2013-PO191957-41514'), 
('3', '71.98', 'TEC-AC-5138', 'CA-2015-AS10090140-42264'), 
('6', '1512.0', 'FUR-TA-5053', 'IN-2014-TS212057-41852'), 
('6', '186.14', 'OFF-BI-5638', 'CA-2014-AS10090140-41812'), 
('4', '2550.0', 'TEC-PH-3148', 'SF-2015-MV8190117-42362'), 
('2', '47.98', 'TEC-AC-5094', 'CA-2015-AS10090140-42264'), 
('5', '2285.7', 'FUR-CH-4655', 'ES-2013-BD11560139-41327'), 
('9', '1029.26', 'FUR-BO-3648', 'IN-2015-PS1876059-42288'), 
('5', '1058.28', 'TEC-CO-4577', 'US-2015-FM1421551-42115'), 
('9', '5751.54', 'TEC-PH-3149', 'IN-2014-CA1277558-41802'), 
('7', '2442.07', 'FUR-BO-5969', 'ES-2014-CD1279048-41899'), 
('6', '1190.52', 'OFF-ST-6046', 'IN-2015-NL1831092-42266'), 
('7', '3150.82', 'OFF-AP-4502', 'IT-2015-TB2105545-42334'), 
('5', '1599.9', 'TEC-CO-3595', 'ES-2015-NF1847548-42248'), 
('5', '2063.4', 'FUR-BO-3627', 'IN-2015-KD1649527-42175'), 
('6', '1269.9', 'OFF-ST-5702', 'HU-2015-EH412557-42300'), 
('9', '3274.02', 'FUR-BO-3639', 'IN-2012-KB1660058-41136'), 
('2', '848.32', 'TEC-PH-5841', 'MX-2015-CS1246093-42259'), 
('6', '94.2', 'OFF-ST-4516', 'CA-2015-AS10090140-42096'), 
('8', '2847.36', 'TEC-CO-6012', 'ES-2015-MG1769564-42018'), 
('5', '1725.75', 'FUR-CH-5380', 'ID-2015-VF21715102-42321'), 
('6', '1479.31', 'TEC-CO-4568', 'ID-2014-AM1070559-41803'), 
('3', '22.51', 'FUR-FU-4050', 'CA-2015-AS10090140-42264'), 
('9', '1282.23', 'TEC-CO-4588', 'IN-2015-BP11290113-42269'), 
('6', '2478.6', 'FUR-BO-4850', 'AO-2012-HZ49504-40916'), 
('3', '97.44', 'FUR-FU-3844', 'CA-2012-AS10090140-41173'), 
('3', '959.76', 'TEC-CO-4578', 'IN-2014-EM1382566-41850'), 
('3', '34.65', 'OFF-AR-5285', 'US-2015-AS10090140-42341'), 
('10', '4135.64', 'OFF-AP-4504', 'IN-2015-BS1180059-42124'), 
